id,species,color,weightCarats,dimensions,outline,cutName,sourceGeo,isMined,dateCut,notes,imagesPath,defaultImage,additionalImages,price
1,Topaz,Sky Blue,2.8,8.1x8.1mm,Square Emerald,Emeral Cut Texas Star,Brazil,TRUE,2025-12-28,A frosted star is centered in the sparkling table of the elegant emerald cut sky blue topaz. This irradiated material was mined in Brazil.,images/gems/topaz-skyblue-emerald-star-2.8,topaz-skyblue-emerald-star-2.8.jpg,topaz-skyblue-emerald-star-2.8.mp4,0
2,Aquamarine,Faint blue,2.4,8.45x9.30mm,Hexagon,Beryl Blossom,Brazil,TRUE,2025-07-13,"This aquamarine was one of my first faceted gemstones. I originally purchased this Stone from Nature's Treasures in Austin Texas as a mineral specimen and ended up cutting it. It has some icicle-like inclusions that add a frosty touch to this stone's pale color.

Aquamarine is a blue to blue-green variety of the mineral beryl (the same mineral family as emerald). The blue color comes from iron impurities in the crystal structure. The name literally means ""sea water"" in Latin.",images/gems/aquamarine-brazil-2.4,aquamarine-brazil-2.4_a_front.jpg,aquamarine-brazil-2.4_d_rough.png|aquamarine-brazil-2.4_b_outdoor.mp4|aquamarine-brazil-2.4_e_pavilion_cutting.png|aquamarine-brazil-2.4_f_notes.jpg,0
3,Topaz (Imperial),Pale brown,1.3,6.1x6.1mm,Square Cushion,Square Radiant Topaz,Brazil,TRUE,2025-06-30,"This stone was mined in Ouro Preto, Brazil and purchased rough from a private seller in Bastrop, Texas. This barion style square cut, called ""Square Radiant Topaz"" was designed by A. Collins. Imperial Topaz is the most prized variety of topaz. The name reportedly comes from 19th-century Russia, where the finest specimens were reserved for the Czar's royal family. Imperial topaz is much rarer than the common blue or white topaz seen in most jewelry stores. Unlike most blue topaz (which is irradiated), imperial topaz gets its color naturally from chromium impurities. ",images/gems/topaz-imperial-1.3,topaz-imperial-1.3.jpg,topaz-imperial-1.3.mp4,0
4,Topaz (Imperial),Brownish Pink,3.3,11.1x6.25mm,Emerald,Ideal Emerald 133,"Ouro Preto, Brazil",TRUE,2025-12-05,"This rough was purchased from Nature's Treasures in Austin, Texas. The gem is emerald cut to maximize the pink color its sparkly natural inclusions.

Imperial Topaz is the most prized variety of topaz. The name reportedly comes from 19th-century Russia, where the finest specimens were reserved for the Czar's royal family. Imperial topaz is much rarer than the common blue or white topaz seen in most jewelry stores. Unlike most blue topaz (which is irradiated), imperial topaz gets its color naturally from chromium impurities.",images/gems/topaz-imperial-3.3,topaz-imperial-3.3.jpg,topaz-imperial-3.3.mp4,0
5,Topaz,White,4,9.4x10.6mm,Hexagon,Hard Roku,Vietnam,TRUE,2025-10-28,"This rough was purchased from a gem trader at the 2025 Gem Capers show in Austin, Texas. I love this design by Marco Voltolini. A small chip happened when removing the stone from the dop, so this one will be recut.

White topaz mined in the northern regions of Vietnam is an affordable, yet genuine natural gemstone formed over millions of years, giving it intrinsic value and appeal for those who prefer natural stones. Topaz is particularly popular for those who want the ""real gemstone"" experience and story without paying diamond prices",images/gems/topaz-white-hex-vietnam-4.0,topaz-white-hex-vietnam-4.0.jpg,topaz-white-hex-vietnam-4.0.mp4,0
6,Topaz,White,0.9,6.4x6.4mm,Pentagon,Minimalist 2013,"St. Luis Potosi, Mexico",TRUE,2025-06-30,"This tiny rough was purchased from a gem trader at the 2025 Tri-City Gem & Mineral Society show in Temple, Texas.

This topaz comes from the Tepetate deposit, located in the Villa de Arriaga Municipality of San Luis Potosí, discovered in the 1960s. The name ""Tepetate"" is derived from the native Nahuatl word 'Tepetlatl', referring to hardened volcanic, rhyolitic topaz-bearing tuffs. The deposit from which this stone was taken is largely historic (1960-1990), and the material is now scarce.",images/gems/topaz-white-pentagon-potosi-0.9,topaz-white-pentagon-potosi-0.9.jpg,topaz-white-pentagon-potosi-0.9.mp4,0
7,Tourmaline (Rubellite),Hot Pink,0.6,5.3x5.87mm,Cushion Triangle,Tourmaline Terror,Brazil,TRUE,2025-11-23,"Hot pink rubellite tourmaline cut in a cushion triangle. Rough purchased from Shiny Things for Shiny People in Austin, Texas.",images/gems/tourmaline-rubellite-0.6,tourmaline-rubellite-0.6.jpg,tourmaline-rubellite-0.6.mp4,0
8,Tourmaline,Green/Yellow,1.7,6.23x6.5mm,Square Pixel,Pixel (Opposed bar),Brazil,TRUE,2025-11-07,"Rough purchased from Shiny Things for Shiny People in Austin, Texas.",images/gems/tourmaline-square-pixel-1.7,tourmaline-square-pixel-1.7.jpg,tourmaline-square-pixel-1.7.mp4,0
10,Peridot,Green,2.8,7.20x7.30mm,Square Pixel,Pixel (Opposed bar),,TRUE,2025-09-25,Square pixel cut peridot. Characteristic lilly pad inclusions give this natural stone its own unique look.,images/gems/peridot-square-pixel-2.8,peridot-square-pixel-2.8.jpg,peridot-square-pixel-2.8.mp4,0
11,Tourmaline,Green,0.8,8.56x3.16mm,Rectangle,Pixel (Opposed bar),,TRUE,2025-11-15,Elongated pixel cut green tourmaline give a bouncing LED effect.,images/gems/tourmaline-green-0.8,tourmaline-green-0.8.jpg,,
12,Heliodor,Light yellow,0.4,4.65x4.58mm,Square Pixel,Voxel,,TRUE,2025-09-23,This design is a double pixel designed to show waves of reflections moving into the stone. ,images/gems/heliodor-light-yellow-0.4,heliodor-light-yellow-0.4.jpg,,
13,Citrine (Santa Ana Madeira),Golden Orange,1.1,6.4x6.4mm,Square Emerald,Emeral Cut Texas Star,Brazil,TRUE,2025-12-20,Golden orange Santa Ana Madeira Citrine cut in a very lively and sparkly emerald shape with a frosted star in the pavilion.,images/gems/citrine-golden-orange-1.1,citrine-golden-orange-1.1.jpg,,
14,Nanosital,Light Kryptonite,3,8.95x10.10mm,Tapered Pentagon,Superman (Tapered Pentacut),,FALSE,2025-08-25,"Kryptonite Nanosital in a Superman cut is sure to dazzle with sparkling opalescent colors. Nanosital is a remarkable lab-created material that faithfully replicates the optical properties and vibrant colors of natural gemstones at a fraction of the cost. Its consistent clarity and lack of inclusions mean you get eye-clean stones every time, without the ethical concerns or environmental impact associated with mining. The material is durable enough for everyday jewelry while offering colors—from rich emerald greens to deep sapphire blues—that remain stable and won't fade over time. For anyone who loves the beauty of gemstones but wants an affordable, sustainable, and reliably gorgeous option, nanosital delivers on all fronts.",images/gems/nanosital-light-kryptonite-3,nanosital-light-kryptonite-3.jpg,,
15,Ruby,Red,6.2,10.5x10.5mm,Square,Ann's Ruby,,FALSE,2025-07-20,Lab ruby in a princess cut. Lots of scintillation with deep color.,images/gems/ruby-red-6.2,ruby-red-6.2.jpg,,
16,Garnet,Red,1.8,7.6x7.6mm,Square Cushion,Garnet Cushion,,TRUE,2025-07-04,Natural garnet cut in a square cushion.,images/gems/garnet-red-1.8,garnet-red-1.8.jpg,,
17,Amethyst,Purple,4.9,11.73mm,Round,Amaryllis,Brazil,TRUE,2025-07-14,A deep purple round with a round crown and smallish table.,images/gems/amethyst-purple-4.9,amethyst-purple-4.9.jpg,,
18,Amethyst,Purple,2,6.34x9mm,Rectangle,Baguette,Brazil,TRUE,2025-06-25,Rectangular baguette cut amethyst.,images/gems/amethyst-purple-2,amethyst-purple-2.jpg,,
19,Amethyst,Purple,9.2,18.10x9.73mm,Rectangle,Desoppo Bar,Brazil,TRUE,2025-06-27,Rectangular pixel cut amethyst gives bright flashes of violet and purple.,images/gems/amethyst-purple-9.2,amethyst-purple-9.2.jpg,,
20,Nanosital,Blue/Purple,5.1,10.4x11.9mm,Hexagon,Voltolini Minimalist 2014,,FALSE,2025-12-06,"This Nanosital Alexandrite simulant cut in a simple yet bright hexagon changes colors from purple to blue depending on the light temperature. Nanosital is a remarkable lab-created material that faithfully replicates the optical properties and vibrant colors of natural gemstones at a fraction of the cost. Its consistent clarity and lack of inclusions mean you get eye-clean stones every time, without the ethical concerns or environmental impact associated with mining. The material is durable enough for everyday jewelry while offering colors—from rich emerald greens to deep sapphire blues—that remain stable and won't fade over time. For anyone who loves the beauty of gemstones but wants an affordable, sustainable, and reliably gorgeous option, nanosital delivers on all fronts.",images/gems/nanosital-blue-purple-5.1,nanosital-blue-purple-5.1.jpg,,
21,Quartz,White,12.7,20x9.5mm,Rectangle,HTIMs Bar,Brazil,TRUE,2025-06-25,A large flashy pixel cut.,images/gems/quartz-white-12.7,quartz-white-12.7.jpg,,
22,Morganite,Light pink,0.8,6x9mm,Lozenge,Epoch,,TRUE,2025-10-1,Light pink with tons of scintillation.,images/gems/morganite-light-pink-0.8,morganite-light-pink-0.8.jpg,,
23,Quartz,White,11.5,16x16mm,Round,Faceting Lesson 102,,TRUE,2025-07-05,Large brilliant resembles a flower blossom.,images/gems/quartz-white-11.5,quartz-white-11.5.jpg,,
24,Quartz,Disco Fire,4.1,8.64x9.9mm,Hexagon,Voltolini Minimalist 2014,Nigeria,TRUE,2025-11-08,"This curio cut Orire Quart from Nigeria, also known as Disco Fire quartz, has inclusions of crocopidolite and hematite giving if the appearance of sparks inside.",images/gems/quartz-disco-fire-4.1,quartz-disco-fire-4.1.jpg,,
25,Topaz,White,4.3,10x10mm,Hexagon,Temple Ruins,Brazil,TRUE,2025-11-01,Large white topaz cut in a scintillating round.,images/gems/topaz-white-4.3,topaz-white-4.3.jpg,,
